order_details,order_id,item_id,order_date
0,1,109,01-01-2023 11:38
1,2,108,01-01-2023 11:57
2,2,124,01-01-2023 11:57
3,2,117,01-01-2023 11:57
4,2,129,01-01-2023 11:57
5,2,106,01-01-2023 11:57
6,3,117,01-01-2023 12:12
7,3,119,01-01-2023 12:12
8,4,117,01-01-2023 12:16
9,5,117,01-01-2023 12:21
10,6,101,01-01-2023 12:29
11,6,114,01-01-2023 12:29
12,7,123,01-01-2023 12:50
13,8,123,01-01-2023 12:51
14,9,108,01-01-2023 12:52
15,9,126,01-01-2023 12:52
16,9,110,01-01-2023 12:52
17,9,117,01-01-2023 12:52
18,9,117,01-01-2023 12:52
19,9,129,01-01-2023 12:52
20,9,122,01-01-2023 12:52
21,9,130,01-01-2023 12:52
22,9,132,01-01-2023 12:52
23,10,129,01-01-2023 13:00
24,10,105,01-01-2023 13:00
25,11,101,01-01-2023 13:02
26,11,102,01-01-2023 13:02
27,11,102,01-01-2023 13:02
28,11,113,01-01-2023 13:02
29,12,102,01-01-2023 13:04
30,12,102,01-01-2023 13:04
31,12,104,01-01-2023 13:04
32,12,117,01-01-2023 13:04
33,13,129,01-01-2023 13:11
34,14,114,01-01-2023 13:14
35,15,107,01-01-2023 13:33
36,15,124,01-01-2023 13:33
37,15,121,01-01-2023 13:33
38,15,114,01-01-2023 13:33
39,16,125,01-01-2023 13:34
40,16,111,01-01-2023 13:34
41,16,106,01-01-2023 13:34
42,17,101,01-01-2023 13:53
43,17,116,01-01-2023 13:53
44,17,124,01-01-2023 13:53
45,17,125,01-01-2023 13:53
46,17,117,01-01-2023 13:53
47,17,127,01-01-2023 13:53
48,17,128,01-01-2023 13:53
49,17,129,01-01-2023 13:53
50,17,118,01-01-2023 13:53
51,17,131,01-01-2023 13:53
52,18,111,01-01-2023 13:57
53,19,110,01-01-2023 13:59
54,19,120,01-01-2023 13:59
55,20,107,01-01-2023 14:03
56,20,124,01-01-2023 14:03
57,21,110,01-01-2023 14:14
58,22,124,01-01-2023 14:16
59,22,110,01-01-2023 14:16
60,22,105,01-01-2023 14:16
61,23,105,01-01-2023 14:19
62,24,101,01-01-2023 14:23
63,24,110,01-01-2023 14:23
64,24,113,01-01-2023 14:23
65,24,119,01-01-2023 14:23
66,25,120,01-01-2023 14:44
67,25,106,01-01-2023 14:44
68,26,108,01-01-2023 14:54
69,26,132,01-01-2023 14:54
70,27,101,01-01-2023 15:11
71,27,108,01-01-2023 15:11
72,27,131,01-01-2023 15:11
73,28,103,01-01-2023 15:35
74,29,126,01-01-2023 15:41
75,30,106,01-01-2023 15:41
76,31,129,01-01-2023 15:50
77,31,113,01-01-2023 15:50
78,32,107,01-01-2023 15:53
79,32,126,01-01-2023 15:53
80,32,110,01-01-2023 15:53
81,32,117,01-01-2023 15:53
82,33,101,01-01-2023 15:54
83,33,126,01-01-2023 15:54
84,34,114,01-01-2023 16:21
85,35,126,01-01-2023 16:32
86,35,112,01-01-2023 16:32
87,35,113,01-01-2023 16:32
88,35,106,01-01-2023 16:32
89,36,101,01-01-2023 16:54
90,36,108,01-01-2023 16:54
91,37,117,01-01-2023 16:56
92,37,129,01-01-2023 16:56
93,38,109,01-01-2023 17:03
94,38,110,01-01-2023 17:03
95,39,117,01-01-2023 17:07
96,40,125,01-01-2023 17:14
97,40,105,01-01-2023 17:14
98,41,125,01-01-2023 17:15
99,41,126,01-01-2023 17:15
100,42,107,01-01-2023 17:28
101,42,124,01-01-2023 17:28
102,42,129,01-01-2023 17:28
103,42,118,01-01-2023 17:28
104,43,103,01-01-2023 17:38
105,43,117,01-01-2023 17:38
106,43,118,01-01-2023 17:38
107,44,130,01-01-2023 17:54
108,45,125,01-01-2023 17:55
109,45,109,01-01-2023 17:55
110,45,106,01-01-2023 17:55
111,46,104,01-01-2023 18:25
112,46,108,01-01-2023 18:25
113,46,106,01-01-2023 18:25
114,47,105,01-01-2023 18:26
115,47,132,01-01-2023 18:26
116,48,104,01-01-2023 18:26
117,48,126,01-01-2023 18:26
118,48,119,01-01-2023 18:26
119,48,122,01-01-2023 18:26
120,49,120,01-01-2023 18:33
121,51,101,01-01-2023 18:48
122,51,112,01-01-2023 18:48
123,52,109,01-01-2023 18:53
124,52,129,01-01-2023 18:53
125,52,122,01-01-2023 18:53
126,53,112,01-01-2023 18:54
127,53,123,01-01-2023 18:54
128,54,119,01-01-2023 19:01
129,54,106,01-01-2023 19:01
130,55,118,01-01-2023 19:03
131,55,122,01-01-2023 19:03
132,56,108,01-01-2023 19:07
133,56,128,01-01-2023 19:07
134,56,105,01-01-2023 19:07
135,57,108,01-01-2023 19:10
136,58,124,01-01-2023 19:30
137,58,113,01-01-2023 19:30
138,59,127,01-01-2023 19:40
139,59,112,01-01-2023 19:40
140,59,113,01-01-2023 19:40
141,60,104,01-01-2023 20:05
142,60,125,01-01-2023 20:05
143,61,101,01-01-2023 20:08
144,61,117,01-01-2023 20:08
145,62,101,01-01-2023 20:50
146,62,123,01-01-2023 20:50
147,63,112,01-01-2023 20:51
148,64,107,01-01-2023 20:52
149,65,112,01-01-2023 21:16
150,65,120,01-01-2023 21:16
151,65,122,01-01-2023 21:16
152,65,123,01-01-2023 21:16
153,66,108,01-01-2023 21:47
154,66,110,01-01-2023 21:47
155,67,105,01-01-2023 22:03
156,68,108,01-01-2023 22:07
157,68,117,01-01-2023 22:07
158,68,117,01-01-2023 22:07
159,69,101,01-01-2023 22:12
160,70,127,02-01-2023 11:38
161,70,121,02-01-2023 11:38
162,71,106,02-01-2023 11:40
163,72,131,02-01-2023 11:57
164,73,106,02-01-2023 11:58
165,74,124,02-01-2023 12:01
166,74,129,02-01-2023 12:01
167,74,130,02-01-2023 12:01
168,74,123,02-01-2023 12:01
169,75,117,02-01-2023 12:10
170,75,128,02-01-2023 12:10
171,75,111,02-01-2023 12:10
172,76,107,02-01-2023 12:21
173,76,109,02-01-2023 12:21
174,76,127,02-01-2023 12:21
175,76,122,02-01-2023 12:21
176,77,101,02-01-2023 12:22
177,77,109,02-01-2023 12:22
178,78,107,02-01-2023 12:28
179,78,108,02-01-2023 12:28
180,78,125,02-01-2023 12:28
181,78,110,02-01-2023 12:28
182,78,122,02-01-2023 12:28
183,78,106,02-01-2023 12:28
184,79,110,02-01-2023 12:29
185,79,112,02-01-2023 12:29
186,79,106,02-01-2023 12:29
187,80,113,02-01-2023 12:35
188,80,106,02-01-2023 12:35
189,81,106,02-01-2023 12:40
190,82,107,02-01-2023 12:45
191,82,102,02-01-2023 12:45
192,82,122,02-01-2023 12:45
193,82,132,02-01-2023 12:45
194,83,105,02-01-2023 12:53
195,84,113,02-01-2023 13:13
196,85,108,02-01-2023 13:34
197,85,108,02-01-2023 13:34
198,85,117,02-01-2023 13:34
199,85,114,02-01-2023 13:34
200,86,109,02-01-2023 13:40
201,87,110,02-01-2023 14:01
202,87,129,02-01-2023 14:01
203,87,123,02-01-2023 14:01
204,87,123,02-01-2023 14:01
205,88,124,02-01-2023 14:10
206,89,121,02-01-2023 14:30
207,89,106,02-01-2023 14:30
208,90,120,02-01-2023 15:08
209,90,106,02-01-2023 15:08
210,91,101,02-01-2023 15:14
211,91,104,02-01-2023 15:14
212,91,113,02-01-2023 15:14
213,92,101,02-01-2023 15:17
214,92,117,02-01-2023 15:17
215,92,117,02-01-2023 15:17
216,92,127,02-01-2023 15:17
217,92,113,02-01-2023 15:17
218,92,118,02-01-2023 15:17
219,92,131,02-01-2023 15:17
220,92,123,02-01-2023 15:17
221,92,114,02-01-2023 15:17
222,93,120,02-01-2023 15:29
223,94,110,02-01-2023 16:17
224,94,105,02-01-2023 16:17
225,95,111,02-01-2023 16:18
226,95,118,02-01-2023 16:18
227,96,111,02-01-2023 16:21
228,97,107,02-01-2023 16:45
229,98,108,02-01-2023 17:18
230,98,111,02-01-2023 17:18
231,99,117,02-01-2023 17:45
232,100,109,02-01-2023 17:46
233,101,102,02-01-2023 17:51
234,101,113,02-01-2023 17:51
235,101,121,02-01-2023 17:51
236,101,122,02-01-2023 17:51
237,102,101,02-01-2023 17:54
238,102,119,02-01-2023 17:54
239,103,123,02-01-2023 18:02
240,104,101,02-01-2023 18:02
241,104,103,02-01-2023 18:02
242,104,127,02-01-2023 18:02
243,104,132,02-01-2023 18:02
244,105,109,02-01-2023 18:12
245,105,113,02-01-2023 18:12
246,105,119,02-01-2023 18:12
247,106,129,02-01-2023 18:12
248,106,122,02-01-2023 18:12
249,107,102,02-01-2023 18:25
250,107,117,02-01-2023 18:25
251,107,122,02-01-2023 18:25
252,107,132,02-01-2023 18:25
253,108,108,02-01-2023 18:25
254,108,109,02-01-2023 18:25
255,108,123,02-01-2023 18:25
256,109,110,02-01-2023 18:27
257,109,117,02-01-2023 18:27
258,109,113,02-01-2023 18:27
259,109,119,02-01-2023 18:27
260,110,107,02-01-2023 18:36
261,110,111,02-01-2023 18:36
262,110,121,02-01-2023 18:36
263,110,122,02-01-2023 18:36
264,111,102,02-01-2023 18:38
265,111,124,02-01-2023 18:38
266,111,113,02-01-2023 18:38
267,111,130,02-01-2023 18:38
268,112,113,02-01-2023 18:41
269,113,102,02-01-2023 18:50
270,113,129,02-01-2023 18:50
271,113,105,02-01-2023 18:50
272,114,113,02-01-2023 18:59
273,114,120,02-01-2023 18:59
274,115,107,02-01-2023 19:05
275,115,111,02-01-2023 19:05
276,115,106,02-01-2023 19:05
277,116,124,02-01-2023 19:18
278,117,118,02-01-2023 19:23
279,117,120,02-01-2023 19:23
280,118,119,02-01-2023 19:26
281,118,131,02-01-2023 19:26
282,119,125,02-01-2023 19:32
283,120,108,02-01-2023 19:35
284,120,109,02-01-2023 19:35
285,120,131,02-01-2023 19:35
286,121,101,02-01-2023 19:38
287,121,125,02-01-2023 19:38
288,121,120,02-01-2023 19:38
289,121,105,02-01-2023 19:38
290,122,117,02-01-2023 19:50
291,123,110,02-01-2023 20:12
292,124,101,02-01-2023 20:12
293,124,120,02-01-2023 20:12
294,124,122,02-01-2023 20:12
295,124,114,02-01-2023 20:12
296,126,132,02-01-2023 20:53
297,127,113,02-01-2023 20:58
298,128,122,02-01-2023 21:05
299,129,107,02-01-2023 21:13
300,129,114,02-01-2023 21:13
301,130,109,02-01-2023 21:14
302,130,110,02-01-2023 21:14
303,130,129,02-01-2023 21:14
304,130,105,02-01-2023 21:14
305,131,104,02-01-2023 21:33
